I have heard many stories of them helping employees beyond what normal companies would do in special circumstances that shows how much they value you.,environment,Positive
"give you advice, support, and overall super friendly.",environment,Positive
"Everyone I work with is willing to help when you need it, ",environment,Positive
"The company provides you with a ton of resources, benefits ",environment,Positive
it is a very transparent workplace that offers employees the ability to speak up ,environment,Positive
Work/life balance. What balance? All those perks and benefits are an illusion.,environment,Negative
. I've never met anybody at Google who actually time off on weekends or on vacations.,environment,Negative
"""You have to work on weekends/vacations"" but, they set the culture by doing so - and it inevitably trickles down. ",environment,Negative
 Do something about that work-ife balance. ,environment,Negative
You can't find a more well-regarded company that actually deserves the hype it gets,environment,Positive
You'll work on cutting edge projects / solve important issues that impact your community  ,environment,Positive
"the world You'll meet interesting people who are your colleagues, managers, and senior management",environment,Positive
There is a general sense of trust in the company. ,environment,Neutral
Promotion opportunities are better there. ,environment,Neutral
"It seemed that everyone who relocated from another location to MTV, was a lot happier.",environment,Positive
Focus more on the user. It seems that OKRs are more focused on internal metrics than actually understanding the user and making them happy. ,environment,Positive
"Many - onsite benefits, collegiality, compensation.",environment,Positive
Great  culture,environment,Positive
Not a lot of opportunities for advancement,environment,Negative
Innovative culture with focus on users. ,environment,Positive
great working environment,environment,Positive
Work life balance. ,environment,Positive
Some entitlement culture with the newer employees,environment,Positive
All the benefits and working for a company that everyone is interested about.,environment,Positive
Overall great culture,environment,Positive
Great culture and future.,environment,Positive
I enjoy going to work each day,environment,Positive
Everything is Great and would reccomend!,environment,Positive
"Great company, perks, people, work/life balance",environment,Positive
On boarding process needs work,environment,Neutral
As a contractor employees dont respect you.,environment,Negative
Good people and good meal,environment,Positive
Promotions and raises take very long to come ,environment,Negative
Work life balance is questionable Unmentioned expectations of dedicating yourself to the company,environment,Neutral
Smart people,environment,Positive
"Large company, can be beauracratic",environment,Negative
"there was little structure and long hours,",environment,Neutral
environment was great and easy,environment,Positive
Bad management in the middle game,environment,Negative
The organization can be quite bureaucratic,environment,Negative
work politics and corporate overhead can be a lot,environment,Negative
you are trusted to pave your own way. T,environment,Positive
There is a sincere desire among most people to 'do the right thing'.,environment,Negative
"Remote workers are not as common as at other companies, so you miss out on many of the perks if you're remote.",environment,Neutral
"maintain the culture as much as possible, continue to focus on transparency.",environment,Positive
work and life balance is great ,environment,Positive
"Benefits (Cafés, gym, transportation) are excellent",environment,Positive
You get to be part of one of the most innovative companies on the planet,environment,Positive
Good place,environment,Positive
Great chill atmosphere -,environment,Positive
Easy to change projects/teams within the company,environment,Positive
Lot of flexibility,environment,Positive
Perks are awesome. ,environment,Positive
"food, cheap massages, great gyms, offsites, dental, medical and more",environment,Positive
Excellent company for working full-time,environment,Positive
Getting promoted can be very very lengthy..,environment,Positive
 a great place to work for,environment,Positive
anyone interested in challenges should consider working here. ,environment,Positive
Lots of perks that allow you to simplify your life,environment,Positive
working environment is comfortable,environment,Positive
best workplace i have ever seen,environment,Positive
Great work life/balance,environment,Positive
Pointless work,environment,Positive
very repetitive,environment,Positive
Confidential information leaks.,environment,Negative
I would like to be part of the team an feel like I took a new path.,environment,Positive
 I enjoy working here.,environment,Positive
free and happy.,environment,Positive
exciting work environment,environment,Positive
Good environment.,environment,Positive
Good place to be at ,environment,Positive
high Work pressure ,environment,Negative
dynamic environment,environment,Neutral
good perks and people there,environment,Positive
Love the company culture,environment,Positive
"benefits, work/life balance",environment,Positive
"Google attracts good,",environment,Positive
 smart people,environment,Positive
very good with work life balance,environment,Positive
Long hours at Google,environment,Negative
Great place to work.,environment,Positive
"Smart colleagues, people are nice, ",environment,Positive
flexible work time.,environment,Positive
"Great office environment,",environment,Positive
Very corporate eviornment,environment,Positive
" fair company,",environment,Positive
 good mission,environment,Positive
Keep it up awesome job,environment,Positive
Intellectually stimulating environment ,environment,Positive
 environment with brilliant people,environment,Positive
Outspoken culture,environment,Negative
it has politics and bureaucracy.,environment,Negative
Pay more attention to your employee's concerns- ,environment,Neutral
amazing compensation and perks,environment,Positive
 to be trusted to manage your time and work,environment,Positive
Google truly is an amazingly great place to work,environment,Positive
"good collaborative environment,",environment,Positive
 great perks,environment,Positive
losing the original culture,environment,Negative
Culture of respect and transparency. ,environment,Positive
Rewarding work Great overall support staff Great environment,environment,Positive
great company to work with. ,environment,Positive
"Cool place to work, ",environment,Positive
"Not very exciting work,",environment,Negative
well it was very cool working here good people ,environment,Positive
incredible environment ,environment,Neutral
bad facilities of the company ,environment,Negative
 good friends and better life,environment,Neutral
"need to implement some people management, soft skills and people development. ",environment,Positive
The behavior of your management on this team is unacceptable.,environment,Negative
"wants to succeed both personally, and as a company.",environment,Neutral
People collaborate and help each other,environment,Positive
 Work/life balance.,environment,Positive
 flexible hours,environment,Positive
100% self motivating work environment,environment,Positive
No dress code ,environment,Neutral
More on-boarding training before new employees are thrown in the fire.,environment,Negative
The diversity of the potential work and innovation can be very alluring,environment,Negative
The culture is quick and hard charging.,environment,Neutral
"(intelligence, strategic vision",environment,Positive
Great starting pay and the ability to get raises very quickly.,environment,Positive
Not much work life balance to speak of.,environment,Negative
too many type A people competing could make it feel like an aggressive environment.,environment,Negative
Safety and Work/Home balance is a priority.,environment,Positive
As long as you demand the best from yourself you are treated great and rewarded for such. ,environment,Positive
Flexible work environment,environment,Positive
"A place to belong, and be yourself ",environment,Positive
"The benefits are awesome, for part time, and full time. ",environment,Positive
"Eligibility is quick, and very rewarding. ",environment,Positive
"That rocks! Great friendships, and supportive relationships. ",environment,Positive
"Great place to work, and excel.",environment,Positive
The open door policy,environment,Positive
support your growth in the company,environment,Positive
I have no complaints about environment,environment,Positive
Employment process fast and simple,environment,Positive
smart people. fair. fun.,environment,Positive
Work takes over life,environment,Negative
"Fast paced, relaxed dress code, ",environment,Neutral
it feel like an aggressive environment.,environment,Negative
Safety and Work/Home balance is a priority,environment,Positive
As long as you demand the best from yourself you are treated great and rewarded for such. ,environment,Positive
Easy work. ,environment,Positive
Steady pace.,environment,Positive
High stress.Must be a go getter.,environment,Neutral
 High pressure. ,environment,Negative
"Pay is great, and while there are fewer benefits than other Tech companies",environment,Neutral
flexibility to work from home,environment,Positive
"clean work place, ",environment,Positive
Work life balance,environment,Positive
Many moving parts to make life stressful,environment,Negative
Raises benefits and the people,environment,Positive
Great work/life balance,environment,Positive
Energetic Environment ,environment,Positive
Managing work/life balance is tough at times,environment,Negative
Challenging and fast paced,environment,Positive
The compensation is very good.,environment,Positive
Focus heavily on keeping your work life balance,environment,Neutral
great seasonal job,environment,Positive
they offer benefits,environment,Positive
"Great shift, awesome benefits, and good pay",environment,Positive
This is the best company I've worked for. ,environment,Positive
good environment and well paid,environment,Positive
"heavy work, not friendly to new graduate",environment,Negative
Long hours and mandatory overtime,environment,Negative
culture wasn't anything to worry about,environment,Negative
Can be a very ambiguous environment.,environment,Negative
No work/life balance for most employees,environment,Negative
Work life balance is hard to maintain,environment,Negative
"Stable, predictable, easy, flexible schedule",environment,Positive
"Constant change due to explosive growth, not a bad thing ",environment,Neutral
mazing work culture Balanced work life Supports,environment,Positive
Supports Remote work as well We believe in making our customers happy,environment,Positive
no place for laziness,environment,Negative
Culture can be better,environment,Neutral
Easy infrastructure to build. ,environment,Positive
Ownership culture,environment,Positive
very competitive environment,environment,Positive
Its a good company to work for.,environment,Positive
Heavy heavy all day!! But love a challenge.,environment,Neutral
Great for a part time Job Solid benefits for a part time position,environment,Positive
Depending on what facility you are working in conditions can be less than ideal.,environment,Neutral
"Great pay, time management, simple work, ",environment,Positive
Amazon employee culture dying,environment,Negative
Fun environment to work in,environment,Positive
Hard to advance and move up,environment,Neutral
Work life balance is slightly difficult,environment,Neutral
work life balance,environment,Positive
Free food great people and staff,environment,Positive
internet connection was usually poor where i live so it made it difficult sometimes,environment,Negative
work life balance is not good.,environment,Negative
I will probably have a good time working for your company.,environment,Neutral
Amazing work culture,environment,Positive
Work-life balance is tough sometimes,environment,Negative
Environment is such that everyone helps you in your growth.,environment,Positive
just keep in mind that you have to be very flexible. ,environment,Neutral
Company is an incredible opportunity if you are flexible and motivated.,environment,Positive
 I've seen none of the horror stories being communicated to the public,environment,Neutral
"People collaborate and help each other, focus on data,",environment,Positive
make decisions focused on long-term customer satisfaction.,environment,Neutral
No work-life balance - I've worked 12+ hours each day in Amazon. ,environment,Negative
Poor benefits compared to other top tier companies,environment,Negative
 Inhumane work environment ,environment,Negative
work environment where people are treated as machines,environment,Negative
"Favoritism,  immense office politics",environment,Negative
lack of diversity,environment,Neutral
"Sink or swim enviornment, ",environment,Neutral
Everything you hear about amazon treats its employees is true,environment,Neutral
"Terrible work environment (seating, noise, people smells)",environment,Negative
Very disorganized global organization structure,environment,Negative
flexible work hours and arrangement.,environment,Positive
Well recognized brand being first in industry,environment,Positive
Growing company with a lot of potential upside,environment,Positive
Many moving parts to make life stressful,environment,Neutral
"Great shift, awesome benefits",environment,Positive
"Work Life Balance, No other Issues",environment,Positive
Chill environment,environment,Positive
work life balance was good at least,environment,Neutral
Physical work in itself is fine.,environment,Positive
Benefits were great!,environment,Positive
No work-life balance,environment,Negative
it's bad for you Not a friendly environment,environment,Negative
 Please show this to executive management to get more funding for this organization,environment,Negative
No work-life balance,environment,Negative
The company retention is horrible,environment,Negative
"Very racist environment, ",environment,Negative
There’s no sick time,environment,Positive
it was the worst stressful and unenjoyable 3 years of my life.,environment,Negative
This job is the worst place to work,environment,Negative
I would never recommend it to anyone,environment,Negative
Don't dismiss emotional intelligence and adaptive leadership,leadership ,Negative
You need great managers and leaders in order to build great companies and develop great employees. ,leadership ,Negative
"The quality of the engineers is possibly dropping, but possibly not",leadership ,Negative
"It's hard to get real metrics, because as the absolute number of people grows, naturally the number of bad apples grows;",leadership ,Negative
"the world You'll meet interesting people who are your colleagues, managers, and senior management",leadership ,Negative
Not able to work remote on some teams.,leadership ,Negative
Great team work and culture,leadership ,Positive
Everyone is really smart,leadership ,Positive
Fast paced,leadership ,Positive
Great employee benefits,leadership ,Positive
Great co-workers.,leadership ,Positive
Keep the core culture by retaining key people,leadership ,Neutral
The people at google are great,leadership ,Positive
though it depends heavily on team,leadership ,Neutral
"extremely smart and friendly people, and amazing benefits.",leadership ,Positive
Some older teams have more bureaucracy and are slower-moving,leadership ,Negative
Keep doing a great job!,leadership ,Positive
Managers don't micro-manage and the people here are awesome.,leadership ,Positive
keep up the great job.,leadership ,Positive
Great culture and people.,leadership ,Positive
"there was a friendly atmosphere, fun people to be around,",leadership ,Positive
great team work,leadership ,Positive
A bit too arrogant and feel that googlers are the best of the best.,leadership ,Negative
great people to work with,leadership ,Positive
"The vast majority of people are talented, hard working and collaborative",leadership ,Positive
'A' players at most other companies are average Joes/Janes here - the bar is high,leadership ,Neutral
"There have been some growing pains in the past, that the company is still working through. ",leadership ,Positive
Forced Stack ranking leads to less promotions,leadership ,Negative
Be clear about expectations to promotion path,leadership ,Neutral
networking opportunities -perks -helpful environment,leadership ,Positive
too many people -low conversion rate,leadership ,Neutral
you are treated with respect,leadership ,Positive
smart and kind people,leadership ,Positive
"The people you work with are awesome, smart and driven",leadership ,Positive
Management can be spotty. ,leadership ,Negative
 don't have the skills to be people managers and still want to do the work. ,leadership ,Neutral
Focus on advancing your staff and not yourself. ,leadership ,Neutral
Being people managers not technical individual contributors. ,leadership ,Negative
This should at a high level to reward good people managers ,leadership ,Positive
don't expect them to be doing large projects distracting them from the teams they manage.,leadership ,Neutral
incredible people & great leaders,leadership ,Positive
The benefits at Google are amazing,leadership ,Positive
With my senior workers tats is my challenge,leadership ,Positive
Google is the best leading company in world,leadership ,Positive
smart leaders to work with,leadership ,Positive
Communication among teams & leaders is friendly,leadership ,Positive
Good co-workers. ,leadership ,Positive
Satisfactory Supervisor.,leadership ,Positive
"My store manager was knowledgeable, helpful and patient",leadership ,Positive
"Best and brightest people, ",leadership ,Positive
Senior leaders show immense empathy ,leadership ,Neutral
leaders show commitment to keeping employees happy.,leadership ,Positive
It whoud be good for me,leadership ,Positive
Awesome coworkers,leadership ,Positive
Hard to get promoted.,leadership ,Positive
the team matters more than the company,leadership ,Positive
nice people & leadership,leadership ,Positive
very competitive with all the smart people,leadership ,Positive
"Not an experienced enough team, ",leadership ,Negative
needs more leadership,leadership ,Negative
"great coworkers,",leadership ,Positive
 great collaborative teams,leadership ,Positive
Top executives are out of touch,leadership ,Positive
 great management,leadership ,Positive
diverse group of coworkers & leaders,leadership ,Positive
need more Individyal recognition,leadership ,Neutral
Someone you feel nonexistent.,leadership ,Neutral
Continues to be a fantastic place to work and lead others,leadership ,Positive
A bad manager can really ruin things,leadership ,Negative
Smart colleagues & leaders,leadership ,Positive
generally a lot of very senior people end up woefully underutilized.,leadership ,Positive
"Enlightened management, ",leadership ,Positive
 I've never been treated as well by another employer/leaders,leadership ,Negative
Some co-workers can act a entitled at times,leadership ,Neutral
Smart people & leaders,leadership ,Positive
nice people & leadership,leadership ,Positive
 Flexibility to move between teams and projects,leadership ,Positive
Good people/ leaders in general.,leadership ,Positive
Excellent benefits from lead peoples,leadership ,Positive
Upper management can . be a little stressful sometimes,leadership ,Negative
Smart people & leaders,leadership ,Positive
bad colleagues & lead peoples,leadership ,Negative
"Horrible manager, behaving very unethical",leadership ,Negative
Could be run more efficiently ,leadership ,Positive
 I have seen many senior leaders getting hired with poor leadership skills ,leadership ,Negative
" Management team are some of the most pompous, arrogant, ",leadership ,Negative
"Leaders would be defensive, accusing, openly blaming and quite snotty and offensive. ",leadership ,Neutral
"You need to implement some people management, soft skills and people development",leadership ,Neutral
The behavior of your management on this team is unacceptable.,leadership ,Negative
too many work and getting harder to be promoted by leaders,leadership ,Negative
some times leaders behaving like childish,leadership ,Neutral
worst leaders I have ever seen,leadership ,Negative
leaders are not  that much bad,leadership ,Neutral
tech leads are so arrogant,leadership ,Negative
best leadership & guidance,leadership ,Positive
woow ! What a great leadeship,leadership ,Positive
smart team heads,leadership ,Positive
perfect project leads lead good team,leadership ,Positive
"leaders sm time behave good , some time behave very bad",leadership ,Neutral
 Great care for human resources by great leaders,leadership ,Positive
" Every leaders here is really smart,",leadership ,Positive
Really smart people & leaders,leadership ,Positive
You have to be self motivated.,leadership ,Neutral
"""S-Team"" are brilliant and continue to make great decisions for long-term growth.",leadership ,Negative
"You work with smart people,",leadership ,Positive
you are pushed to your limits by head peoples,leadership ,Negative
which can be rewarding by leaders when you accomplish great things,leadership ,Positive
The management process is abusive,leadership ,Negative
You are forced to ride people and stack rank employees..,leadership ,Neutral
I've been forced to give good employees bad overall ratings because of politics and stack ranking.,leadership ,Negative
There are really well run teams.,leadership ,Positive
very badly run teams.,leadership ,Negative
"most of those who become successful do so in treacherous, low cunning ways.",leadership ,Negative
Teams you work with are full of smart people,leadership ,Positive
